Beryll|+Beryll
Executive Technologies|Executive Technologies, Inc
Ferguson Enterprises|Ferguson Enterprises, Inc.
Lincoln Industries Corp.|Lincoln Industries
Erich Utsch AG|Utsch AG
Gold Apollo Co., Ltd.|Gold Apollo Corporation Limited
Della Ferrera Motors Ltd|Della Ferrera
Dunlop Standard Aerospace Group Ltd|Dunlop Standard Aerospace Group
Strangeloop Networks|Strangeloop Networks Inc.
JN Data A/S|S
EZAN|Federal State Unitary Enterprise Experimental Factory of Scientific Engineering Russian Academy of Sciences
Ipostparcels|iPostParcels
LiveWatch|LiveWatch Security, Llc.
Naturesave Insurance|Naturesave Policies Ltd.
Quigo Technologies, Inc.|Quigo
Devil's Due Digital|Devil's Due Digital, Inc.
Sputnik Engineering AG|Sputnik Engineering
Intafact Beverages Limited|INTAFACT BEVERAGES LIMITED
Fishpond.co.nz, Ltd.|Fishpond.co.nz
McLaughlin & Harvey Ltd|McLaughlin & Harvey
Roses Theatre|The Roses Theatre
Roth & Rau AG|Roth & Rau
Tally Weijl|Tally Weijl Trading AG
Opel Eisenach GmbH|Opel Eisenach
Dredging Corporation of India Limited|Dredging Corporation of India
Electronic Temperature Instruments|Electronic Temperature Instruments Ltd
SP Setia|S P Setia Berhad
A21, Inc.|a21, Inc.
Jackson Grills Inc.|Jackson Grills
Ness Technologies|Ness Technologies Limited
Handpresso SAS|Handpresso
eFront Financial Solutions|EFront Financial Solutions
Velocite Tech. Co Ltd|Velocite Bikes
NeuroFocus|NeuroFocus, Inc.
Zircotec|Zircotec Ltd.
Indie Boyz|IndieBoyz
HP Enterprise Security Products|HP Enterprise Security
Daintee|Daintee Ltd.
Pernigotti|Pernigotti S.p.A.
Fastline|Fastline Ltd
Zamil Industrial|Zamil Industrial Investment Co.
Mother Dairy|Mother Dairy Fruit & Vegetable Pvt. Ltd.
Cigna TTK Health Insurance|Cigna TTK
MolMed|MolMed SpA
Luxtera Inc.|Luxtera
Sabra Freight Services S.A.R.L.|Sabra Freight Services
A-Boy Supply|A-Boy Plumbing & Electrical Supply
Eteacher Group|eTeacher Group Ltd.
Spotcap|Spotcap Global Services
Dowa Holdings|Dowa Holdings Co., Ltd.
Leading Edge Alliance: LEA Global|LEA Global
Tropenhaus Frutigen|Tropenhaus Frutigen AG
Amplify systems|Amplify Systems
ZZHZ|ZZHZ Corporation
eHealthInsurance|EHealthInsurance
Golden Ocean Group|Golden Ocean Group Limited
Boonty|Boonty Box
Neuron Robotics|Neuron Robotics Cooperative, Inc.
IP Group|IP Group plc
Signa Holding|SIGNA Holding
IMCO Carbide Tool Inc.|IMCO Carbide Tool
Hyster-Yale Materials Handling, Inc.|Hyster-Yale Materials Handling
Promega|Promega Corporation
Mango Languages|Mango languages
FTR Moto Ltd.|FTR Moto
Brasserie Brunehaut|Brasserie de Brunehaut
Pactera Technology International Ltd.|Pactera
Amlogic|Amlogic Inc.
Tayo Rolls Limited|Tayo Rolls
Pronto Pup|Pronto Pup Company, Inc.
IPR Microfinance Institution|Intean Poalroath Rongroeurng Ltd.
Pepperstone|Pepperstone Group Limited
Monitronics International, Inc.|Monitronics
National Council for the Blind of Ireland|The National Council for the Blind of Ireland
Dex Media, Inc.|Dex Media
Maroc|FRS Iberia/Maroc
Threenix Inc.|Threenix
Little Tikes|The Little Tikes Company
Mobovivo|MoboVivo
CenturyTel of Chester, Inc.|CenturyTel of Chester
Marmore Mena Intelligence|Marmore MENA Intelligence
Mascot International A/S|MASCOT Workwear
HACEB|Industrias Haceb S.A.
Uronen Precision|Ase ja Osa Ky
Isetan Mitsukoshi Holdings, Ltd.|Isetan Mitsukoshi Holdings
Acme Monaco|Acme Monaco Corporation
Fissler GmbH|Fissler
Sugar Corporatuion of Uganda Limited|Sugar Corporation of Uganda Limited
PartsBase|PartsBase, Inc.
Hamburger Mary's|Hamburger Mary's International
IKloak|iKloak / Goodfellas Online BV
FreeStyle Games|FreeStyleGames
Calltrunk|Calltrunk Inc.
USG People|USG People N.V.
Wyscout|Wyscout Spa
Titan Aircraft|Titan Aircraft Company
Freedompay|FreedomPay
Ip.access|ip.access Limited
Mersbrass|China Yuhuan Mersbrass Co.,Ltd
Mr. California|Mr. California Clothing
Haryana Roadways State Transport|Haryana Roadways
ISA|Information Systems Associates FZE
Ryze, Inc.|Ryze Trampoline Parks
XSEED Education|Xseed education
Buckley Aircraft Company|Buckley Aircraft
Sterilgarda|Sterilgarda Alimenti
Filmauro S.r.l.|Filmauro
WiseHost.ca|Wisehost
Harts Local Grocers|Hart's Local Grocers
FitHo|Fitho
Financial Navigator, Inc|Financial Navigator
Mirgor|Mirgor S.A.C.I.F.I.A.
Videntifier Technologies|Videntifier
Basic Pictures|Basic Pictures Ltd.
Basex|Basex, Inc.
American Excelsior Company|American Excelsior
DBZ Guitars|Diamond Guitars
Flowmaster|Flowmaster, Inc.
Aalto University Executive Education|Aalto University Executive Education Ltd
PAC International|PAC International, Inc.
Professional Coin Grading ServicePCGS|Professional Coin Grading Service
MFRI|MFRI Inc.
Handheld Games|Handheld Games Corp.
Foxtons|Foxtons Group plc
Daejan Holdings plc|Daejan Holdings
Woollim Entertainment|Woollim Label
First Frame Entertainment|First Frame Entertainment Private Limited
Strawdog Studios|Strawdog Studios Ltd
Pets Corner|Pets Corner UK Ltd.
Pixmania S.A.S|Pixmania
Transelectrica SA|Transelectrica
Earle Wines|Earle Wine Ltd.
Slab-O-Concrete|Slab-O-Concrete Productions
The Sustainable Restaurant Association|Sustainable Restaurant Association
Goyard|GOYARD
Orrian|Orrian Studios
General Electric EdgeLab|edgelab
Zencap Global Services|Zencap
Northland Organic Foods|Northland Organic Foods Corporation
Transtek Systems|Transtek
Weigel Broadcasting|Weigel Broadcasting Company
Gebr. Heller|Gebr. Heller Maschinenfabrik GmbH
Malvern Instruments|Malvern Instruments Limited
Sognekraft|Sognekraft AS
Certify Data Systems, Inc.|Certify Data Systems
De Simon|De Simon Group S.p.A.
Gea World|Gea world
Trion Worlds|Trion Worlds, Inc. Company
Tallink|AS Tallink Grupp
Hyundai Assan Otomotiv San ve Tic.|Hyundai Assan Otomotiv
Napatech A/S|Napatech
IndiaMART|IndiaMART.com
Camtel|CAMTEL
Internetrix|Internet Solutions Australia Pty Ltd
Vivo Electronics|vivo Electronics Corp.
Duolog Technologies|Duolog
Rivermine Inc.|Rivermine
The Canadian Salt Company Limited|Canadian Salt Company
Soul Burrito, LLC.|Soul Burrito, LLC
Finolex Cables|Finolex Cables Ltd
William Patterson & Son|William Patterson Shipbuilders
Captive Media|Captive Media Limited
Inland Residential Properties Trust|Inland Residential Properties Trust, Inc.
Autech|Autech Japan, Inc.
AlertMe.com|AlertMe
Portfolium|Portfolium, Inc.
The Library House Ltd|Library House
Caloi|Caloi S.A.
AVN Media Network, Inc.|AVN Media Network
Neue Automobil-Gesellschaft AG|Neue Automobil Gesellschaft
Celestron|Celestron, LLC
Aerospace, Transportation and Advanced Systems Laboratory|GTRI Aerospace, Transportation and Advanced Systems Laboratory
Bergen og Omegn havnevesen IKS|Bergen Port Authority
Skye Bank Plc.|Skye Bank
Artemide S.p.A.|Artemide
Relayware Ltd|Foundation network
Modern Water plc|Modern Water
TalkAgent LLC|Talkagent.com
Little Kids Rock|Little Kids Rock, Inc.
Sandy Spring Bancorp, Inc.|Sandy Spring Bank
BTCJam|BTCjam
Pei Partnership Architects|Pei Partnership Architects LLP
Elektroniksystem- und Logistik-GmbH|ESG Elektroniksystem- und Logistik-GmbH
GreenWorks|Green-Works
Dotsub|DotSUB
Empresa Agroindustrial Casa Grande S.A.A.|Agroindustrial Casa Grande
Valtec Tractors|Valtec
Pharmaceutical Product Development|Pharmaceutical Product Development, LLC.
Kymeta Corporation|Kymeta
TeleTime|Tele Time
Kalbe Farma|PT. Kalbe Farma Tbk.
toonlet|Toonlet
Teknopet Plastic Products and PET Packaging Corporation|Teknopet
Jain Group of Industries|Jain Group
Curzon Cinemas|Curzon Cinemas Limited
Shuttleworth & Ingersoll|Shuttleworth & Ingersoll P.L.C.
Box TV Limited|Box TV
Zeiller & Fournier|Automobiles Zeiller & Fournier
Omega Pharma|Omega Pharma N.V.
Quality Capital Management Ltd|Quality Capital Management
CIOS|Channel Islands Occupation Society
LeadPoint, Inc.|LeadPoint
Audi Senna Ltda.|Audi Senna
DataSplice, LLC|DataSplice
FM Center|Circuito FM Center
The Crossroads Group|Crossroads Group
Logic Programming Associates Ltd|Logic Programming Associates
Morrison Facilities Services|Morrison Facilities Services plc
Louis Poulsen Lighting A/S|Louis Poulsen
Teva Learning Alliance|Teva Learning Center
Opmantek|Opmantek Ltd
ANY Security Printing Company|State Printing Company
Cimls|Commercial Investment Multiple Listing Service
Tele-ressources|Tele-Ressources Staffing Services Ltd
Steelcom Ltd.|Steelcom Ltd
West Monroe Partners|West Monroe Partners, LLC
OpenRent|OpenRent Ltd
Absorbent, Ink.|Absorbent Ink
GRUPO SELTHER Sa de CV|Selther
Wavegarden S.L.U.|Wavegarden
ExtraHop Networks, Inc.|ExtraHop Networks
Toyota Racing Management|Toyota Racing Series
Tvornica Autobusa Zagreb|TAZ
SolarJOOS|Solar JOOS, Inc.
Renewal2|Renewal2 Investment Fund
AS Elektrisk Bureau|Elektrisk Bureau
Trotec Ltd.|Trotec
Kion Group AG|KION Group
AmpleBosom|AmpleBosom.com
Harris & Harris Group, Inc.|Harris & Harris Group
FIIG|FIIG Securities
Rotiboy Bakeshoppe Sdn Bhd|Rotiboy
SGM games|SGM Games
Bradespar S.A|Bradespar
Odisei|Odisei, S.A.
Joyent Inc.|Joyent
G.A.U.S.S. Srl|GAUSS Srl
CenturyTel of Central Indiana, Inc.|CenturyTel of Central Indiana
Bach Technology A.S.|Bach Technology
Coal Company Zarechnaya|Coal company Zarechnaya
Hot Tuna Clothing|Hot Tuna Clothing Industries Pty Ltd
Unplugged Cities|Unplugged Cities, L.L.C.
Pondfreaks Entertainment|Pondfreaks
VMRay|VMRay GmbH
SPS Commerce, Inc.|SPS Commerce
Young Social Innovators|Young Social Innovators,
Monexgroup|MONEXgroup
Virgin Money  Pty Limited|Virgin Money Australia
Spica|SPICA Group
Savvy Communications Pty Ltd|Savvytel
Twin Lights Soda|Twin Lights
Axcient, Inc.|Axcient
Garlando|Garlando S.r.l
Knockaround|Knockaround, LLC
Climaveneta|Climaveneta Spa
Hotel Heritage|Heritage Lisbon Hotels
Trump Productions LLC|Trump Productions
Premier Rides, Inc.|Premier Rides
Modern Theaters Ltd|Modern Theatres
Laservision|Laservision Mega Media Pty Ltd
National Commercial Bank Limited|National Commercial Bank Mauritius
Norfolk Newspaper Co.|Norfolk Newspaper Company
Vodafone Netherlands|Vodafone Libertel B.V.
Lancaster Laboratories Inc.|Lancaster Laboratories
Droste|Droste B.V.
Unbabel Inc.|Unbabel
Jimmy Choo Ltd|Jimmy Choo
Eurocentres Foundation|Eurocentres
MedPlus|MedPlus Health Services Pvt. Ltd.
goTenna|GoTenna
AbhiBus Services India Pvt. Ltd.|Abhibus.com
SA des Automobiles Tracta|Tracta
TPV Technology Limited|TPV Technology
later R. H. Long Motors Company|Bay State Auto Company & R. H. Long Motors Company
Trondheim Trafikkselskap|Trondheim Trafikkselskap AS
US Cable|US Cable Group
Compagnie des Autos et Cycles Hurtu|Hurtu
Buffalo Bill's|Buffalo Bill's Brewery
Payscout Inc.|Payscout
VMTurbo|VMTurbo, Inc.
Kuoni SOTC|KUONI SOTC
Abbey Life plc|Abbey Life
United Security Bancshares, Inc.|United Security Bancshares
Frontier Communications of the Southwest Inc.|Frontier Communications of the Southwest
Lex Machina, Inc.|Lex Machina
Cold Steel Inc.|Cold Steel
Harris Technology Pty Ltd.|Harris Technology
Northcliffe Media Ltd.|Northcliffe Media
New England Coffee|New England Tea & Coffee Company, LLC.
eHealthMe.com|EHealthMe
Sigfox|SIGFOX
Mynews.com|myNEWS.com Sdn Bhd
F.W. Webb|F.W. Webb Company
Ikegami Tsushinki|Ikegami Tsushinki Co., Ltd.
Vibratex|Vibratex, Inc.
Beloretsk Iron and Steel Works|OJSC Beloretsk Iron and Steel Works
Bankinter, S.A.|Bankinter
Tatuus|Tatuus Racing s.r.l.
Sennebogen|Sennebogen Maschinenfabrik GmbH
FairPoint Communications Missouri|FairPoint Communications Missouri, Inc.
Hyperion Insurance Group Ltd|Howden Insurance Brokers Limited
MOSH Mobile|MOSH mobile
Siemens Canada Limited|Siemens Canada
Mirago Ltd|Mirago
Mah Sing Group|Mah Sing Group Bhd
Egnyte|Egnyte, Inc.
Giusto Manetti Battiloro S.p.A.|Giusto Manetti Battiloro
KineticGlue Online Communities Private Limited|KineticGlue
Edesma S.A.|Edesma
Badel 1862|Badel 1862 d.d.
Scholarbuys|ScholarBuys LLC
Green Sky Adventures|Green Sky Adventures, Inc.
Shinco|Shinco Inc.
Gamerang|Gamerang, Inc.
Shell Australia|Shell Australia Pty Ltd
Destra Corporation|Destra Corporation Limited
Zeltia, S.A.|Zeltia
Fabtek Inc.|Fabtek
Viztel Solutions Group|Viztel Solutions
Altoros Systems, Inc.|Altoros
Domstein|Domstein ASA
NBGI Private Equity Limited|NBGI Private Equity
IDBI Capital / IDBI Direct|IDBI Capital
UltraStar Cinemas, Inc.|UltraStar Cinemas
Collaborative Drug Discovery|Collaborative Drug Discovery, Inc.
Pacific Coast Feather Company|Pacific Coast Feather Co.
Fineos|FINEOS
Petrosoft|Petrosoft LLC
PubGene|PubGene Inc.
Juno Therapeutics|Juno Therapeutics Inc
Drammens Elektriske Bane|A/S Drammens Eletriske Bane
trueAnthem|Trueanthem
Teddy-Hermann GmbH|Teddy-Hermann
ClassWish|ClassWish.org
CtrlS|CtrlS Datacenters Ltd
HealthBridge Inc.|HealthBridge
Dizmo|Dizmo AG
Energiapolar|Energiapolar Oy
Trade Arabia|Trade Arabia Business Information and Trade News Portal
SARD Corporation|SARD
Dortch Enterprises|Dortch Enterprises, LLC
Systems Planning and Analysis|Systems Planning and Analysis, Inc.
Dialight plc|Dialight
Sargento Foods Inc.|Sargento
Vimicro Corporation|Vimicro
Cerruti|Cerruti 1881
Vestax Corporation|Vestax
Edgemere Dallas|Edgemere retirement community
Carbine Studios|Carbine Studios, Inc.
Waggonfabrik Rastatt|BWR Waggonreparatur GmbH
Panda United  Company|Azizia Panda
SynCardia Systems|SynCardia Systems Inc.
Hamann Motorsport GmbH|Hamann Motorsport
Kari-Keen Manufacturing|Kari-Keen Manufacturing Company
Green Pigeon Movies Pvt. Ltd|Green Pigeon Movies
AYMTM|AYMTM Limited
Nitto Boseki Co., Ltd.|Nitto Boseki
Quazal Technologies Inc.|Quazal
HR Bradfords|Bradford  Ltd
Shake Shack Inc.|Shake Shack
National Bank of Azad Hind|Azad Hind Bank
Rock River Arms|Rock River Arms Inc
Moneytree|Moneytree, Inc.
BitArmor|BitArmor Systems, Inc.
Sacyr Vallehermoso, S.A.|Sacyr Vallehermoso
Avebe U.A.|AVEBE
GameChanger|GameChanger Media
Turner Broadcasting System Norway|Turner Broadcasting System Norway AS
Monical Pizza Corporation|Monical's Pizza
TU Media Corp.|TU Media
Outfit7|Outfit7 Ltd.
Severtrans a.d.|Severtrans
Sword CTSpace now part of the Idox Group and merging with McLaren Software|Sword CTSpace
Mere Mortals|Mere Mortals Ltd
Bizerba|Bizerba GmbH & Co. KG
Banca di Credito Sardo SpA|Banca di Credito Sardo
Soundcast LLC|Soundcast
Mantex|Mantex S.A.C.A.
PITSOS S.A|Pitsos
Zettagrid Pty Ltd|ZettaGrid
Philips Lumileds Lighting Company|Lumileds Holding B.V.
CIVIC|Civic Video
Switch and Data Facilities Company, Inc.|Switch and Data
Spector|Stuart Spector Design, LTD.
Babcock Borsig Service GmbH|Babcock Borsig Service
Timexpo|Timexpo Museum
Brainworx Music & Media GmbH|Brainworx
Danubius Hotels and Spas Group|Danubius Hotels Group
Telarus, Inc.|Telarus
ProSight Specialty Insurance Group, Inc.|ProSight Specialty Insurance
Fesco Transport Group|FESCO Transportation Group
Jersey Post|Jersey Post International Limited
Primeira Idade, Lda.|Primeira Idade
Orexigen Therapeutics|Orexigen Therapeutics, Inc.
Tasty Bite|Preferred Brands International, LLC
Endace|Endace Ltd
CenturyTel of Adamsville|CenturyTel of Adamsville, Inc.
Signority|Signority Inc.
Aventi Technology AS|Aventi Technology
Clydebank Co-operative Society Limited|Clydebank Co-operative Society
Qualfon, Inc.|Qualfon
SkateSpots|Skatespots
IMINT Image Intelligence AB|Image Intelligence - IMINT AB
Banco de Occidente S.A.|Banco de Occidente Credencial
CREALOGIX Holding AG|Crealogix
Rock 'N Learn|Rock 'N Learn, Inc.
Spot blue international property|Spot Blue International Property
Steelbro|Steelbro NZ Limited
Jyothy Laboratories|Jyothy Laboratories Ltd
Rachel K|Rachel K Cosmetics Pte Ltd
Radijus Vektor|Radijus Vektor d.o.o.
TESCAN, a.s.|TESCAN
Satmap|Satmap Systems Ltd.
FishingBooker|FishingBooker.com
HCL ISD|HCL ISD Chennai
ARBURG GmbH + Co. KG|Arburg
NComputing, Inc.|NComputing
Carbon Clear Limited|Carbon Clear
IL Therapeutics|IL Therapeutics Inc.
AntiGravity, Inc.|AntiGravity, Inc
DayStar Digital|DayStar Digital, Inc.
Airware|Airware, Inc.
Multiband|Multiband Corporation
Northern New England Spinco|Northern New England Spinco, Inc.
SOASTA|SOASTA Inc.
Amrut Distilleries Ltd|Amrut Distilleries
Snooth Inc|Snooth
Fiat Industrial S.p.A.|Fiat Industrial
Chronoswiss|Chronoswiss AG
CzechBoys.com|CzechBoys
Frontier Economics|Frontier Economics Ltd.
fi-linx|Fi-linx
Road Builder  Berhad|Road Builder
UFP Technologies, Inc.|UFP Technologies
Wielton|Wielton SA
TriTek Solutions Inc.|TriTek Solutions
Legea S.R.L.|Legea
Bristol Packet Boat Trips Limited|Bristol Packet Boat Trips
Oakleaf|Oakleaf Brewery
Southern Theatres|Southern Theatres, LLC.
Bel Air Aviation A/S|Bel Air Aviation
Uljanik plovidba d.d.|Uljanik plovidba
Empire Software, Inc|Empire Software
Adams-Filmi|Adams Filmi
Bynari, Inc.|Bynari
Orient Electric|Orient Electric Limited
Mitcham Industries, Inc.|Mitcham Industries
Canvas Venture Fund|Canvas Ventures
Nexaweb, INC.|Nexaweb
Lewis Leigh Accessories|Lewis Leigh
OJSC \|Cherkizovo
Sunnyland Patio Furniture|Sunnyland furniture
Aloha Petroleum|Aloha Petroleum, Ltd.
Rumaila Field Operating Organization|Rumaila Operating Organization
Shunra Software|Shunra
Tricom, S.A.|Tricom, S.A
Unwired|Unwired Australia Pty Ltd
Cudamail|CudaMail Spam Filtering Service
Splunk Inc.|Splunk
Leisure Learning Unlimited|Leisure Learning Unlimited, Inc.
Curotek|Curotek Corporation
Exclusive Books|Exclusive Books Group  Ltd
Stanley Electric|Stanley Electric Co., Ltd.
Zeus Mortgage, Ltd|Zeus Mortgage
Analytik Jena AG|Analytik Jena
Gogo Business Aviation|Aircell
Thimble Island Brewing Co.|Thimble Island Brewing Co
Manufactum GmbH & Co. KG|Manufactum
Blimpy Burger|Krazy Jim's Blimpy Burger
Buyer's Best Friend|Buyer's Best Friend, Inc.
Stealth Communications|Steath Communications
'' Waterford Steamship Company|Waterford Steamship Company
Denki Kagaku Kogyo|Denki Kagaku Kogyo Kabushiki Kaisha
MGS|Commonground/MGS
nic.at GmbH|Nic.at
Twiga Cement|Tanzania Portland Cement Company Ltd.
Los Angeles Talkies|Latalkies
Racelogic Ltd|Racelogic
Datari Turner Productions.|Datari Turner Productions
OnAds Communications LLP|OnAds Communications
Yangtze River Pharmaceutical Group, Ltd.|Yangtze River Pharmaceutical Group
Shannon Ferry Group|Shannon Ferry
Nuttelex Food Products Pty Ltd|Nuttelex
Exploroo|Exploroo Pty Ltd
RADWIN Ltd.|Radwin
Green Flash Brewing Company|Green Flash Brewing Co.
Clasificadora / Calificadora de Riesgo PCR-PACIFIC CREDIT RATING|Pacific Credit Rating
NH Media|NH Entertainment Media Group
Salten Kraftsamband AS|Salten Kraftsamband
Hiscox|Hiscox Limited
Vectra Networks Inc.|Vectra Networks
Grow Games and Toys|Grow Jogos e Brinquedos
Raymond Group|Raymond Limited
Richrelevance|RichRelevance
Adsmith|Adsmith China
George Fincham & Sons|George Fincham
NIRAS Gruppen A/S|NIRAS
CPP Group plc|CPP Group
eShop|EShop
Blue Ridge Capital|Blue Ridge Capital Holdings, LLC
EGF|E.G.F.
Stonestreet One, LLC|Stonestreet One
USTAR company|USTAR
DealsDirect|Deals Direct
Derby Cycle AG|Derby Cycle
Alphacet, Inc.|Alphacet
TeleComputing ASA|TeleComputing
Tribute Inspirations Limited|Tribute Inspirations
Go-To Transport|Go-To Transport, Inc.
Cedevita d.o.o.|Cedevita
Streicher's|Streichers
Beistegui Hermanos|Beistegui Hermanos S.A.
Liquid Light|Liquid Light, Inc.
Spenta Multimedia Pvt. Ltd.|Spenta Multimedia
Renowned Films\nthumb|Renowned FIlms Logo
iSign Media Solutions, Inc.|ISIGN Media
High Fidelity|High Fidelity Inc
Anboto Group|Medan Group
Frontier Communications of Breezewood, LLC|Frontier Communications of Breezewood
Wilsons Automobiles & Coachworks|Wilsons of Epsom
G1 Group PLC|G1 Group
Sextant Properties|Sextant Properties Ltd
Fresh To Order|Fresh to Order
Apogee Electronics|Apogee Electronics Corporation
Hansard Global plc|Hansard Global
SimplySiti Sdn. Bhd.|SimplySiti
BioDot, Inc.|Biodot
N.V. Interpolis BTL|Interpolis
Norsk Bane AS|Norsk Bane
Hint Water|Hint Water Inc.
ZeroC, Inc.|ZeroC
Logicalis|Logicalis Group
Mittal Hospital & Research Centre|Mittal hospital
Highburton Industrial and Provident Society Limited|Highburton Co-operative Society
CDS Holding|CDS Holding SpA
Jinduicheng Molybdenum|Jinduicheng Molybdenum Group Mining Corporation
Officine Piccini S.p.A|Officine Piccini S.p.A.
Berkeley Cinemas|The Hoyts Group
ASFOUR Crystal|Asfour crystal
CEA Technologies Pty Limited|CEA Technologies
DCD Media plc|DCD Media
WonderLuk|WonderLuk Ltd
ThalesNano|ThalesNano Inc.
Coop Mortgage Bank|Coop Savings and Loans Limited
Sizaire-Naudin|Sizaire  et Naudin
Nanosys|Nanosys Inc.
Embarq Florida|Embarq Florida, Inc.
Honeytech|Honeytech, Inc.
Petronet|Transnet Pipelines
Ecua-Andino|Ecua-Andino Hats
Opus Energy Limited|Opus Energy
Interdean Relocation Services|Interdean
EastwoodCo|Eastwood Company
Hirsch Bedner Associates|HBA/Hirsch Bedner Associates
IRESS Limited|IRESS
TRAFFIK Advertising|TRAFFIK
Aurobindo Pharma Limited|Aurobindo Pharma
Yarwil AS|Yarwil
Gemeinhardt Musical Instruments LLC|Gemeinhardt
Bin Quraya|Bin Quraya Group.
Mozcom|Mosaic Communications
Elder Pharmaceuticals|Sante Mernaud Pharmaceuticals pvt. Ltd
Apro Financial|Rush & Cash
Oy W. Rosenlew Ab|Rosenlew
Sri Guan Teik Enterprise Sdn Bhd|Sri Guan Teik
Portnews|PortNews
Lakeland Dairies Group|Lakeland Dairies
INKAS|INKAS Group of Companies
National Safety Council of Australia Ltd|National Safety Council of Australia
Ceccato motorcycles|Ceccato
BioDiscovery, Inc.|BioDiscovery
Heavenly Group Limited|Heavenly Group Ltd
ITNAmerica|Independent Transportation Network
Newton Software, Inc.|Newton Software
Tehnika|Tehnika d.d.
Education Media and Publishing Group International|EMPGI
SK Communications Co., Ltd.|SK Communications
Rowse Honey|Rowse Honey Ltd
Research exchange ltd|Research Exchange Ltd
Tuesday Morning Corporation|Tuesday Morning
HALO Technology Holdings|Halo Technology Holdings
VOLTEX International Inc.|Voltex Light Bar Company
Sundream Motion Pictures|Sundream Motion Pictures Ltd.
Dannames|Dan Names, Inc
Avcon Corporation|Avcon
Sky-Watch A/S|Sky-Watch
Volga Shipping Company|Volga Shipping
Bacolod Chicken Inasal|Bacolod Chicken Inasal Restaurant
Amu Power Company Limited|Amu Power Company
Fairmount Heavy Transport N.V.|Fairmount Heavy Transport
Indramat GmbH.|Indramat
BMR Inc.|BMR Group
Kilgannon, Inc.|Kilgannon
Banco Patagonia|Banco Patagonia S.A.
Froiz|Distribuciones Froiz, S.A.
Irynsoft|Irynsoft, LLC
Intercontinental Bank Plc. Now Access Bank PLC|Intercontinental Bank
VIA Motors|VIA Motors, Inc.
InstaEDU, Inc.|InstaEDU
Dish HD|DishHD
Cinecom Pictures|Cinecom International Films
Pronto Software|Pronto Software Limited
Limited Stores|The Limited
Sea6 Energy Private Ltd.|Sea6 Energy
First United Bank & Trust|First United Bank
Gracy Title Company|Gracy Title-A Stewart Company
Sungwoo Automotive|Hyundai Sungwoo Automotive Korea Co., Ltd.
Warren James Jewellers|Warren James
Lowcostholidays|lowcostholidays
Baker's Supermarkets, Inc.|Baker's Supermarkets
Computer Support Services, Inc.|Computer Support Services
PBG SA|PBG S.A.
SYBO Games ApS|SYBO Games
Al Wathba National Insurance Company|Al Wathba National Insurance Co
Energy Muse|Energy Muse Jewelry
'''Dundalk Steam Packet Company|Dundalk Steam Packet Company
VeriSilicon|VeriSilicon Holdings Co., Ltd.
I Squared Capital|I Squared Capital LLC
Medical Plus Pty Ltd|Medical Plus
Mascoma Corporation - Mascoma LLC|Mascoma Corporation
WolfVision GmbH|WolfVision
Protyre|Micheldever Tyre & Auto Services Limited, trading as Protyre
British Tanker Company|British Tanker Company Limited
Trenton Technology Inc.|Trenton Technology
Witan Pacific Investment Trust|Witan Pacific Investment Trust plc
Stibo|The Stibo Group
Kneissl|Kneissl Holding GmbH
VIP Music Records|VIP Music Records.
REI Agro Ltd.|REI Agro Limited
Midland Railway of Western Australia|Midland Railway Company of Western Australia
Hikvision Digital Technology Co., Ltd.|Hikvision
Aktiv Kapital ASA|Aktiv Kapital
Baltcap|BaltCap
Fox Head, Inc|Fox Racing
Ker's WingHouse|Ker's Winghouse
Banca IFIS S.p.A.|Banca IFIS
Pharmasave Drugs  Ltd.|Pharmasave
Davies Turner & Co Ltd.|Davies Turner
DP Architects|DP Architects Pte Ltd
Dr. Fox Online Pharmacy|Dr Fox Pharmacy
The Student Volunteer Campus Community|Student Volunteer Campus Community
Cravens|and Wagon Company Ltd
Schiesser|Schiesser AG
Avanade|Avanade Inc.
ironSource|IronSource
Target Logistics|Target Logistics Management LLC
Umai Chemical Co.,Ltd.|Umai Chemical
Bossa Studios Ltd.|Bossa Studios
Diamond Bank|Diamond Bank Plc.
BathSimple|Bath Simple
Babyshop Stores|Babyshop
FiftyFifty Brewing Co.|FiftyFifty Brewing Company
Hemne og Orkladal Billag|Hemne og Orkladal Billag AS
Novarama Technology|Novarama
Sacchettificio Monzese S.r.l.|Sacchettificio Monzese
Cimpress N.V.|Cimpress
Infobright, Inc.|Infobright
itembase, Inc.|Itembase
Beretta Holding S.p.A.|Beretta Holding
Composite Software, Inc.|Composite Software
Propertini|Propertini, Inc
Howard Center\n  logo   =|HowardCenter
Trans Tech|TransTech Bus
GRT Jewellers|G. R. Thanga Maligai
CenturyTel of Northwest Arkansas, LLC|CenturyTel of Northwest Arkansas
Drivetrain Systems International|Drivetrain System International Pty Ltd
MyHSR Corporation Sdn Bhd|MyHSR Corp
EcoSecurities|Ecosecurities
Soilmec|Soilmec S.p.A.
Sovrn Holdings|sovrn Holdings Inc.
Cobra Foundation|Cobra foundation
Xanalys Limited|Xanalys
Asiatravel.com Holdings LTD|Asiatravel.com
Oasis Petroleum Inc.|Oasis Petroleum
Virtutech|Virtutech Inc.
Sling TV|Sling TV LLC
Dickinson Theatres|Dickinson Theatres, Inc.
Neways International|Neways
SpeedCast|SpeedCast Limited
Hennessy's|D.J. Hennessy Company
Vadilal|Devansh Sanghvi
NetSentron, a division of Kobelt Development Inc.|Netsentron
